Trial	N_Channels	Channels	ATE_Mean_cm	Status
438	4	d7,d11,d36,d41	44.9797	OK
439	4	d4,d22,d29,d53	17.0279	OK
440	4	d4,d22,d50,d63	23.0188	OK
441	8	d2,d18,d23,d47,d55,d56,d59,d62	18.9863	OK
442	8	d1,d6,d18,d19,d21,d29,d36,d38	21.1747	OK
443	8	d8,d17,d29,d32,d54,d56,d60,d63	23.5006	OK
444	8	d7,d10,d21,d24,d29,d41,d46,d51	23.7697	OK
445	6	d0,d11,d21,d32,d45,d47	36.4458	OK
446	6	d11,d12,d36,d37,d43,d48	34.9380	OK
447	6	d5,d20,d27,d32,d51,d52	28.9705	OK
448	6	d6,d8,d11,d30,d42,d51	28.3147	OK
449	4	d0,d31,d33,d41	24.4296	OK
450	4	d30,d34,d49,d57	26.2620	OK
451	4	d1,d33,d38,d42	22.9310	OK
452	4	d7,d15,d30,d46	22.9020	OK
453	8	d10,d19,d25,d32,d43,d56,d57,d59	28.6873	OK
454	8	d7,d18,d23,d39,d40,d44,d58,d63	23.3069	OK
455	8	d8,d9,d14,d28,d29,d30,d47,d61	24.4152	OK
456	8	d26,d30,d34,d35,d44,d47,d48,d58	21.5946	OK
457	6	d15,d27,d38,d43,d48,d62	25.7422	OK
458	6	d10,d23,d28,d33,d45,d62	29.7909	OK
459	6	d3,d7,d9,d36,d53,d58	30.7387	OK
460	6	d9,d10,d20,d25,d34,d36	29.3875	OK
461	4	d14,d26,d56,d62	77.4210	OK
