channel,condition,local_sharpness,global_sharpness,x_local,y_local
121,+30%,0.006235,0.014250,0.007110,0.005361
121,+50%,0.005713,0.010962,0.008867,0.002559
122,Clean,0.003172,0.015832,0.003514,0.002831
122,+30%,0.004059,0.012157,0.002883,0.005235
122,+50%,0.004896,0.013394,0.004450,0.005342
123,Clean,0.003946,0.016985,0.003537,0.004356
123,+30%,0.007018,0.011911,0.011008,0.003028
123,+50%,0.005185,0.011979,0.002436,0.007934
124,Clean,0.003275,0.015120,0.003503,0.003047
124,+30%,0.009223,0.011160,0.008817,0.009629
124,+50%,0.010030,0.009263,0.013966,0.006094
125,Clean,0.004043,0.017363,0.002489,0.005598
125,+30%,0.007137,0.012140,0.008374,0.005900
125,+50%,0.004715,0.011747,0.003544,0.005886
126,Clean,0.003424,0.016161,0.003031,0.003816
126,+30%,0.005730,0.011522,0.002785,0.008675
126,+50%,0.003628,0.016181,0.003746,0.003510
127,Clean,0.003644,0.015789,0.002718,0.004571
127,+30%,0.004327,0.016081,0.003890,0.004765
127,+50%,0.007666,0.008661,0.002259,0.013072
128,Clean,0.003849,0.016689,0.003083,0.004615
128,+30%,0.007601,0.008708,0.003819,0.011383
128,+50%,0.008469,0.008551,0.004136,0.012801
129,Clean,0.003421,0.015732,0.002426,0.004416
129,+30%,0.008600,0.010417,0.004430,0.012770
129,+50%,0.008548,0.008882,0.000885,0.016210
130,Clean,0.003446,0.017174,0.002752,0.004141
130,+30%,0.005260,0.014730,0.004832,0.005689
130,+50%,0.009189,0.010570,0.007353,0.011024
131,Clean,0.003031,0.014591,0.002551,0.003512
131,+30%,0.005020,0.010562,0.002090,0.007950
131,+50%,0.004790,0.011427,0.001938,0.007643
132,Clean,0.003568,0.015171,0.001601,0.005535
132,+30%,0.006607,0.012917,0.007014,0.006199
132,+50%,0.007537,0.011220,0.006174,0.008901
133,Clean,0.003619,0.016784,0.003228,0.004010
133,+30%,0.008823,0.008545,0.004919,0.012726
133,+50%,0.009145,0.008869,0.004737,0.013553
134,Clean,0.003410,0.017469,0.003144,0.003676
134,+30%,0.005640,0.012027,0.008639,0.002642
134,+50%,0.007462,0.010106,0.005779,0.009146
135,Clean,0.003089,0.015358,0.003016,0.003161
135,+30%,0.006362,0.012965,0.009987,0.002736
135,+50%,0.006922,0.012943,0.007734,0.006110
136,Clean,0.003910,0.016949,0.002466,0.005354
136,+30%,0.007223,0.010322,0.010765,0.003681
136,+50%,0.007633,0.009779,0.012242,0.003025
137,Clean,0.003479,0.016228,0.002765,0.004193
137,+30%,0.006403,0.011947,0.001944,0.010862
137,+50%,0.007343,0.010556,0.004684,0.010003
138,Clean,0.003511,0.015816,0.002216,0.004806
138,+30%,0.005726,0.013586,0.002451,0.009001
138,+50%,0.008515,0.012170,0.008312,0.008718
139,Clean,0.003665,0.015912,0.001695,0.005634
139,+30%,0.006968,0.014016,0.008702,0.005235
139,+50%,0.006794,0.012518,0.001689,0.011900
140,Clean,0.002976,0.014283,0.002207,0.003744
140,+30%,0.006787,0.010442,0.011353,0.002222
140,+50%,0.010030,0.009310,0.008162,0.011898
141,Clean,0.003268,0.015961,0.002860,0.003676
141,+30%,0.008695,0.009180,0.007862,0.009528
141,+50%,0.006687,0.010150,0.001725,0.011648
142,Clean,0.003494,0.016274,0.003292,0.003697
142,+30%,0.007815,0.009398,0.012807,0.002823
142,+50%,0.008212,0.008773,0.012798,0.003627
143,Clean,0.003389,0.016183,0.002213,0.004566
143,+30%,0.005981,0.013082,0.003720,0.008241
