step,beam,channel,subset,bqs,marginal
2,beam2(seed=ch66),4,"[66, 4]",0.5984606844466175,-0.043041
2,beam2(seed=ch66),5,"[66, 5]",0.6011002285745034,-0.040401
2,beam2(seed=ch66),6,"[66, 6]",0.629659543561147,-0.011842
2,beam2(seed=ch66),7,"[66, 7]",0.6200525223469305,-0.021449
2,beam2(seed=ch66),8,"[66, 8]",0.5928522162175871,-0.048649
2,beam2(seed=ch66),9,"[66, 9]",0.6370168324309209,-0.004485
2,beam2(seed=ch66),10,"[66, 10]",0.6427934395033587,0.001292
2,beam2(seed=ch66),11,"[66, 11]",0.6466473207586722,0.005146
2,beam2(seed=ch66),12,"[66, 12]",0.636125563885125,-0.005376
2,beam2(seed=ch66),13,"[66, 13]",0.6103729528739636,-0.031129
2,beam2(seed=ch66),14,"[66, 14]",0.5795584898650565,-0.061943
2,beam2(seed=ch66),15,"[66, 15]",0.5484428712179287,-0.093059
2,beam2(seed=ch66),16,"[66, 16]",0.6355220764464969,-0.00598
2,beam2(seed=ch66),17,"[66, 17]",0.6481053078027529,0.006604
2,beam2(seed=ch66),18,"[66, 18]",0.6682943377128433,0.026793
2,beam2(seed=ch66),19,"[66, 19]",0.6435681124567889,0.002066
2,beam2(seed=ch66),20,"[66, 20]",0.6388913881848041,-0.00261
2,beam2(seed=ch66),21,"[66, 21]",0.5903748488239492,-0.051127
2,beam2(seed=ch66),22,"[66, 22]",0.6434045321639591,0.001903
2,beam2(seed=ch66),23,"[66, 23]",0.6223355413003163,-0.019166
2,beam2(seed=ch66),24,"[66, 24]",0.6303801787523435,-0.011121
2,beam2(seed=ch66),25,"[66, 25]",0.6070718490519345,-0.03443
2,beam2(seed=ch66),26,"[66, 26]",0.6003950874314612,-0.041107
2,beam2(seed=ch66),27,"[66, 27]",0.6249437725803092,-0.016558
2,beam2(seed=ch66),28,"[66, 28]",0.5506142326935496,-0.090887
2,beam2(seed=ch66),29,"[66, 29]",0.6172109657998649,-0.024291
2,beam2(seed=ch66),30,"[66, 30]",0.6465686150092921,0.005067
2,beam2(seed=ch66),31,"[66, 31]",0.6191149253573929,-0.022387
2,beam2(seed=ch66),32,"[66, 32]",0.6401180552009786,-0.001384
2,beam2(seed=ch66),33,"[66, 33]",0.6210010412837339,-0.020501
2,beam2(seed=ch66),34,"[66, 34]",0.6421376083434868,0.000636
2,beam2(seed=ch66),35,"[66, 35]",0.6225800744464224,-0.018922
2,beam2(seed=ch66),36,"[66, 36]",0.5839658887717782,-0.057536
2,beam2(seed=ch66),37,"[66, 37]",0.6438494115919323,0.002348
2,beam2(seed=ch66),38,"[66, 38]",0.6495317685594026,0.00803
2,beam2(seed=ch66),39,"[66, 39]",0.690015454843541,0.048514
2,beam2(seed=ch66),40,"[66, 40]",0.6340047011130902,-0.007497
2,beam2(seed=ch66),41,"[66, 41]",0.6180710742060743,-0.023431
2,beam2(seed=ch66),42,"[66, 42]",0.5972403927340381,-0.044261
2,beam2(seed=ch66),43,"[66, 43]",0.6571817284835592,0.01568
2,beam2(seed=ch66),44,"[66, 44]",0.6454534440531774,0.003952
2,beam2(seed=ch66),45,"[66, 45]",0.6474795191111142,0.005978
2,beam2(seed=ch66),46,"[66, 46]",0.627810266620118,-0.013691
2,beam2(seed=ch66),47,"[66, 47]",0.5155638400442908,-0.125938
2,beam2(seed=ch66),48,"[66, 48]",0.6531145215752767,0.011613
2,beam2(seed=ch66),49,"[66, 49]",0.6338988265803779,-0.007603
2,beam2(seed=ch66),50,"[66, 50]",0.6345865245078494,-0.006915
2,beam2(seed=ch66),51,"[66, 51]",0.6179452568611548,-0.023556
2,beam2(seed=ch66),52,"[66, 52]",0.6062764816250698,-0.035225
2,beam2(seed=ch66),53,"[66, 53]",0.6524828252202285,0.010981
2,beam2(seed=ch66),54,"[66, 54]",0.6230941649316496,-0.018407
2,beam2(seed=ch66),55,"[66, 55]",0.6385915981730341,-0.00291
2,beam2(seed=ch66),56,"[66, 56]",0.6205215805881712,-0.02098
2,beam2(seed=ch66),57,"[66, 57]",0.6573646120878058,0.015863
2,beam2(seed=ch66),58,"[66, 58]",0.6564611436514309,0.014959
2,beam2(seed=ch66),59,"[66, 59]",0.642871069319923,0.001369
2,beam2(seed=ch66),60,"[66, 60]",0.6436572084581262,0.002156
2,beam2(seed=ch66),61,"[66, 61]",0.6540639386488596,0.012562
2,beam2(seed=ch66),62,"[66, 62]",0.6312355823420689,-0.010266
2,beam2(seed=ch66),63,"[66, 63]",0.5870407605190454,-0.054461
2,beam2(seed=ch66),64,"[66, 64]",0.6102100526612559,-0.031292
2,beam2(seed=ch66),65,"[66, 65]",0.6146151512384842,-0.026887
2,beam2(seed=ch66),67,"[66, 67]",0.6342387719782033,-0.007263
2,beam2(seed=ch66),68,"[66, 68]",0.613142985508577,-0.028359
2,beam2(seed=ch66),69,"[66, 69]",0.5862960666448969,-0.055206
2,beam2(seed=ch66),70,"[66, 70]",0.6317333858850557,-0.009768
2,beam2(seed=ch66),71,"[66, 71]",0.5990038669381756,-0.042498
2,beam2(seed=ch66),72,"[66, 72]",0.5025632972020265,-0.138938
2,beam2(seed=ch66),73,"[66, 73]",0.6227643537553191,-0.018737
2,beam2(seed=ch66),74,"[66, 74]",0.6318259811066876,-0.009676
2,beam2(seed=ch66),75,"[66, 75]",0.6022029580682164,-0.039299
2,beam2(seed=ch66),76,"[66, 76]",0.6323990756815475,-0.009103
2,beam2(seed=ch66),77,"[66, 77]",0.5875268318069485,-0.053975
2,beam2(seed=ch66),78,"[66, 78]",0.6338532668040137,-0.007648
2,beam2(seed=ch66),79,"[66, 79]",0.5076004289288131,-0.133901
2,beam2(seed=ch66),80,"[66, 80]",0.6303062008065391,-0.011195
2,beam2(seed=ch66),81,"[66, 81]",0.6828851453346376,0.041383
2,beam2(seed=ch66),82,"[66, 82]",0.6278231970161305,-0.013678
2,beam2(seed=ch66),83,"[66, 83]",0.6295165512165329,-0.011985
2,beam2(seed=ch66),84,"[66, 84]",0.6084995411547893,-0.033002
2,beam2(seed=ch66),85,"[66, 85]",0.6295776218596288,-0.011924
2,beam2(seed=ch66),86,"[66, 86]",0.6326691076157731,-0.008833
2,beam2(seed=ch66),87,"[66, 87]",0.6302041320121001,-0.011298
2,beam2(seed=ch66),88,"[66, 88]",0.5973952111269509,-0.044106
2,beam2(seed=ch66),89,"[66, 89]",0.6000815925505896,-0.04142
2,beam2(seed=ch66),90,"[66, 90]",0.6381084734818399,-0.003393
2,beam2(seed=ch66),91,"[66, 91]",0.6041114813277575,-0.03739
2,beam2(seed=ch66),92,"[66, 92]",0.6194797505296611,-0.022022
2,beam2(seed=ch66),93,"[66, 93]",0.6245715902865914,-0.01693
2,beam2(seed=ch66),94,"[66, 94]",0.6322013196235019,-0.0093
